text,label,source_dataset,source_label
is it possible to make reservations at the new york restaurant,question,DeepPavlov/clinc_oos,9
Sorry I missed your call let's talk when you have the time. I'm on 07090201529,spam,SMS Spam Collection,spam
how many calories on average are in a hot dog,question,DeepPavlov/clinc_oos,135
tell me how to retrieve my pin number,question,DeepPavlov/clinc_oos,89
"UpgrdCentre Orange customer, you may now claim your FREE CAMERA PHONE upgrade for your loyalty. Call now on 0207 153 9153. Offer ends 26th July. T&C's apply. Opt-out available",spam,SMS Spam Collection,spam
"""disable my card account and contact company to report fraudulent activty",escalate,DeepPavlov/clinc_oos,70
could you please reserve a table for 6 at lucille's under the name tom at 5pm,lead,DeepPavlov/clinc_oos,23
report fraudulent activity on my credit card now,escalate,DeepPavlov/clinc_oos,70
who is responsible for who you are,question,DeepPavlov/clinc_oos,96
tell me a joke about elephants,question,DeepPavlov/clinc_oos,36
"This is the 2nd attempt to contract U, you have won this weeks top prize of either £1000 cash or £200 prize. Just call 09066361921",spam,SMS Spam Collection,spam
how can i create a meeting,question,DeepPavlov/clinc_oos,18
Check Out Choose Your Babe Videos @ sms.shsex.netUN fgkslpoPW fgkslpo,spam,SMS Spam Collection,spam
my insurance policy needs to be adjusted,lead,DeepPavlov/clinc_oos,64
help me change my insurance plan,lead,DeepPavlov/clinc_oos,64
i want to report a stolen card,escalate,DeepPavlov/clinc_oos,12
can you help me book a car rental in paris,lead,DeepPavlov/clinc_oos,40
PRIVATE! Your 2003 Account Statement for 07815296484 shows 800 un-redeemed S.I.M. points. Call 08718738001 Identifier Code 41782 Expires 18/11/04,spam,SMS Spam Collection,spam
"Final Chance! Claim ur £150 worth of discount vouchers today! Text YES to 85023 now! SavaMob, member offers mobile! T Cs SavaMob POBOX84, M263UZ. £3.00 Subs 16",spam,SMS Spam Collection,spam
how many times a year should i change my tires,question,DeepPavlov/clinc_oos,47
are you really real,question,DeepPavlov/clinc_oos,117
do i need a power adapter in mexico,question,DeepPavlov/clinc_oos,120
"Free-message: Jamster!Get the crazy frog sound now! For poly text MAD1, for real text MAD2 to 88888. 6 crazy sounds for just 3 GBP/week! 16+only! T&C's apply",spam,SMS Spam Collection,spam
can i make a phone call,question,DeepPavlov/clinc_oos,25
is there a fee for cancelling a flight i've booked,question,DeepPavlov/clinc_oos,42
Ur cash-balance is currently 500 pounds - to maximize ur cash-in now send COLLECT to 83600 only 150p/msg. CC: 08718720201 PO BOX 114/14 TCR/W1,spam,SMS Spam Collection,spam
does france have any current travel alerts,question,DeepPavlov/clinc_oos,128
"FREE2DAY sexy St George's Day pic of Jordan!Txt PIC to 89080 dont miss out, then every wk a saucy celeb!4 more pics c PocketBabe.co.uk 0870241182716 £3/wk",spam,SMS Spam Collection,spam
how do i check my rewards for my old navy card,question,DeepPavlov/clinc_oos,50
"FREE RING TONE just text ""POLYS"" to 87131. Then every week get a new tone. 0870737910216yrs only £1.50/wk.",spam,SMS Spam Collection,spam
"URGENT! Your mobile No 07xxxxxxxxx won a £2,000 bonus caller prize on 02/06/03! this is the 2nd attempt to reach YOU! call 09066362231 ASAP! BOX97N7QP, 150PPM",spam,SMS Spam Collection,spam
what do i do to freeze my account,escalate,DeepPavlov/clinc_oos,20
book a flight from denver to austin on the 16th and returning on the 20th,lead,DeepPavlov/clinc_oos,63
"This is the 2nd time we have tried 2 contact u. U have won the 750 Pound prize. 2 claim is easy, call 08718726970 NOW! Only 10p per min. BT-national-rate",spam,SMS Spam Collection,spam
my insurance plan is what,lead,DeepPavlov/clinc_oos,74
help! i'm a victim of credit card fraud!,escalate,DeepPavlov/clinc_oos,70
i need to put in a pto request from the 8th to the 17th of january,lead,DeepPavlov/clinc_oos,97
what are some interesting things to do in dc,question,DeepPavlov/clinc_oos,149
<Forwarded from 21870000>Hi - this is your Mailbox Messaging SMS alert. You have 4 messages. You have 21 matches. Please call back on 09056242159 to retrieve your messages and matches,spam,SMS Spam Collection,spam
i want to reserve a table at 8 at long john silver's under the name freddie,lead,DeepPavlov/clinc_oos,23
5p 4 alfie Moon's Children in need song on ur mob. Tell ur m8s. Txt Tone charity to 8007 for Nokias or Poly charity for polys: zed 08701417012 profit 2 charity.,spam,SMS Spam Collection,spam
UR GOING 2 BAHAMAS! CallFREEFONE 08081560665 and speak to a live operator to claim either Bahamas cruise of£2000 CASH 18+only. To opt out txt X to 07786200117,spam,SMS Spam Collection,spam
"URGENT!: Your Mobile No. was awarded a £2,000 Bonus Caller Prize on 02/09/03! This is our 2nd attempt to contact YOU! Call 0871-872-9755 BOX95QU",spam,SMS Spam Collection,spam
where do i find the routing number for nfcu,question,DeepPavlov/clinc_oos,45
tell me how much money i'm earning at my job,question,DeepPavlov/clinc_oos,93
EASTENDERS TV Quiz. What FLOWER does DOT compare herself to? D= VIOLET E= TULIP F= LILY txt D E or F to 84025 NOW 4 chance 2 WIN £100 Cash WKENT/150P16+,spam,SMS Spam Collection,spam
i want to report fraudulent activity on my visa card,escalate,DeepPavlov/clinc_oos,70
what do you think you will refer to me as,question,DeepPavlov/clinc_oos,11
You have been specially selected to receive a 2000 pound award! Call 08712402050 BEFORE the lines close. Cost 10ppm. 16+. T&Cs apply. AG Promo,spam,SMS Spam Collection,spam
please report my stolen card,escalate,DeepPavlov/clinc_oos,12
what is the name of the insurance plan that i'm enrolled in,lead,DeepPavlov/clinc_oos,74
i need you to schedule a meeting with bob brown at noon the day after tomorrow,lead,DeepPavlov/clinc_oos,18
how clogged are the streets before the stadium,question,DeepPavlov/clinc_oos,24
T-Mobile customer you may now claim your FREE CAMERA PHONE upgrade & a pay & go sim card for your loyalty. Call on 0845 021 3680.Offer ends 28thFeb.T&C's apply,spam,SMS Spam Collection,spam
URGENT! This is the 2nd attempt to contact U!U have WON £1000CALL 09071512432 b4 300603t&csBCM4235WC1N3XX.callcost150ppmmobilesvary. max£7. 50,spam,SMS Spam Collection,spam
what date was my oil last changed,question,DeepPavlov/clinc_oos,37
3. You have received your mobile content. Enjoy,spam,SMS Spam Collection,spam
do i still have the reservation on march 21 at 8pm,question,DeepPavlov/clinc_oos,85
can i set up mobile deposits,question,DeepPavlov/clinc_oos,42
do i have carrots on my shopping list,question,DeepPavlov/clinc_oos,43
can you help me change my insurance policy,lead,DeepPavlov/clinc_oos,64
can you put in a pto request for me for july second and third,lead,DeepPavlov/clinc_oos,97
i want to report fraudulent activity on my capital one,escalate,DeepPavlov/clinc_oos,70
FREE for 1st week! No1 Nokia tone 4 ur mob every week just txt NOKIA to 8007 Get txting and tell ur mates www.getzed.co.uk POBox 36504 W45WQ norm150p/tone 16+,spam,SMS Spam Collection,spam
"i need to change my insurance policy, how",lead,DeepPavlov/clinc_oos,64
New TEXTBUDDY Chat 2 horny guys in ur area 4 just 25p Free 2 receive Search postcode or at gaytextbuddy.com. TXT ONE name to 89693. 08715500022 rpl Stop 2 cnl,spam,SMS Spam Collection,spam
there seems to be fraudulent activity,escalate,DeepPavlov/clinc_oos,70
i want a new insurance plan,lead,DeepPavlov/clinc_oos,64
can i put in a pto request for september 1st to september 8th,lead,DeepPavlov/clinc_oos,97
i need to rent a car for may 8th to may 25th in danville and i'd like a ford,lead,DeepPavlov/clinc_oos,40
rent a car for 3/1 through 3/3 in boston; i'd prefer an suv,lead,DeepPavlov/clinc_oos,40
i want to buy a plane ticket to travel from miami to honolulu on the 29th of february i need a return flight on march 5th,lead,DeepPavlov/clinc_oos,63
is my credit report low,question,DeepPavlov/clinc_oos,69
why thank you,question,DeepPavlov/clinc_oos,124
We tried to contact you re your reply to our offer of a Video Phone 750 anytime any network mins Half Price Line Rental Camcorder Reply or call 08000930705,spam,SMS Spam Collection,spam
how can i make changes for my insurance policy,lead,DeepPavlov/clinc_oos,64
The current leading bid is 151. To pause this auction send OUT. Customer Care: 08718726270,spam,SMS Spam Collection,spam
do i need any specific shots if i go to the uk,question,DeepPavlov/clinc_oos,52
Urgent Ur £500 guaranteed award is still unclaimed! Call 09066368327 NOW closingdate04/09/02 claimcode M39M51 £1.50pmmorefrommobile2Bremoved-MobyPOBox734LS27YF,spam,SMS Spam Collection,spam
i want to make a reservation for 8 pm at red robin for 3,lead,DeepPavlov/clinc_oos,23
what are delta's carry-on restrictions,question,DeepPavlov/clinc_oos,62
lyricalladie(21/F) is inviting you to be her friend. Reply YES-910 or NO-910. See her: www.SMS.ac/u/hmmross STOP? Send STOP FRND to 62468,spam,SMS Spam Collection,spam
how long will it take me to get to red robin in glendale,question,DeepPavlov/clinc_oos,78
Free 1st week entry 2 TEXTPOD 4 a chance 2 win 40GB iPod or £250 cash every wk. Txt VPOD to 81303 Ts&Cs www.textpod.net custcare 08712405020.,spam,SMS Spam Collection,spam
show me how to rent a car in las vegas,lead,DeepPavlov/clinc_oos,40
i need to know if you are a real person or an ai,escalate,DeepPavlov/clinc_oos,117
how long does it take to replace a lost card,escalate,DeepPavlov/clinc_oos,90
i think i need to make a reservation for 8 pm at red robin for 3,lead,DeepPavlov/clinc_oos,23
what kind of insurance plan am i in,lead,DeepPavlov/clinc_oos,74
how is the tire pressure,question,DeepPavlov/clinc_oos,98
"can you submit a pto request for me from dates nov 2 to 10, please",lead,DeepPavlov/clinc_oos,97
**FREE MESSAGE**Thanks for using the Auction Subscription Service. 18 . 150p/MSGRCVD 2 Skip an Auction txt OUT. 2 Unsubscribe txt STOP CustomerCare 08718726270,spam,SMS Spam Collection,spam
can you schedule a meeting at 10 am tomorrow with john smith,lead,DeepPavlov/clinc_oos,18
"FREE GAME. Get Rayman Golf 4 FREE from the O2 Games Arcade. 1st get UR games settings. Reply POST, then save & activ8. Press 0 key for Arcade. Termsapply",spam,SMS Spam Collection,spam
please reserve a table for 4 at red robin under the name kevin at 7,lead,DeepPavlov/clinc_oos,23
i may have a fraudulent transaction,escalate,DeepPavlov/clinc_oos,70
You'll not rcv any more msgs from the chat svc. For FREE Hardcore services text GO to: 69988 If u get nothing u must Age Verify with yr network & try again,spam,SMS Spam Collection,spam
can i update my insurance policy,lead,DeepPavlov/clinc_oos,64
Sorry! U can not unsubscribe yet. THE MOB offer package has a min term of 54 weeks> pls resubmit request after expiry. Reply THEMOB HELP 4 more info,spam,SMS Spam Collection,spam
has my manager at mcdonald's confirmed i can take vacation,escalate,DeepPavlov/clinc_oos,101
"Hi, the SEXYCHAT girls are waiting for you to text them. Text now for a great night chatting. send STOP to stop this service",spam,SMS Spam Collection,spam
i shall switch to a new insurance plan,lead,DeepPavlov/clinc_oos,64
"is it monday, tuesday, wednesday, thursday, friday, saturday, or sunday",question,DeepPavlov/clinc_oos,95
what is the total amount due on my electricity bill,question,DeepPavlov/clinc_oos,27
Congratulations ur awarded either £500 of CD gift vouchers & Free entry 2 our £100 weekly draw txt MUSIC to 87066 TnCs www.Ldew.com 1 win150ppmx3age16,spam,SMS Spam Collection,spam
may i know if you are a real person or an ai,escalate,DeepPavlov/clinc_oos,117
i will be in boston from march 2 to march 4 can i rent a car for that time,lead,DeepPavlov/clinc_oos,40
tell me why my card was declined,escalate,DeepPavlov/clinc_oos,49
is socket converter required in france,question,DeepPavlov/clinc_oos,120
i want to start a new aaa insurance plan,lead,DeepPavlov/clinc_oos,64
did the manager approve my vacation yet,escalate,DeepPavlov/clinc_oos,101
i made a fraudulent transaction,escalate,DeepPavlov/clinc_oos,70
where do i find my w-2 tax form,question,DeepPavlov/clinc_oos,122
how to direct deposit my paycheck,question,DeepPavlov/clinc_oos,108
i need a pto request for the dates jan 15th to jan 20th,lead,DeepPavlov/clinc_oos,97
can i please know the credit limit for my citibank card,question,DeepPavlov/clinc_oos,41
what is the due date for a bill,question,DeepPavlov/clinc_oos,56
could i perhaps increase by credit limit by 500 dollars,question,DeepPavlov/clinc_oos,109
how long until i should have my tires replaced,question,DeepPavlov/clinc_oos,47
how do you say fast in spanish,question,DeepPavlov/clinc_oos,61
"Shop till u Drop, IS IT YOU, either 10K, 5K, £500 Cash or £100 Travel voucher, Call now, 09064011000. NTT PO Box CR01327BT fixedline Cost 150ppm mobile vary",spam,SMS Spam Collection,spam
what is the name of the 13th president,question,DeepPavlov/clinc_oos,42
can i replace a stolen card soon,escalate,DeepPavlov/clinc_oos,90
i need to report fraudulent activity on my mastercard,escalate,DeepPavlov/clinc_oos,70
freeze my account immediately,escalate,DeepPavlov/clinc_oos,20
reserve a table for four for tonight at 7 at the fatted calf,lead,DeepPavlov/clinc_oos,23
what exactly can you help me with,question,DeepPavlov/clinc_oos,115
what am i allowed to ask you,question,DeepPavlov/clinc_oos,115
are you a pet owner and what kind,question,DeepPavlov/clinc_oos,34
is the request for vacation i filed with my manager at intel approved yet,escalate,DeepPavlov/clinc_oos,101
Ringtone Club: Get the UK singles chart on your mobile each week and choose any top quality ringtone! This message is free of charge.,spam,SMS Spam Collection,spam
"i want to report fraudulent activity on my visa card, please",escalate,DeepPavlov/clinc_oos,70
lost luggage on flight america airlines in o'hare,escalate,DeepPavlov/clinc_oos,113
what's my health insurance plan,lead,DeepPavlov/clinc_oos,74
i am hoping to switch insurance plans,lead,DeepPavlov/clinc_oos,64
what do i do to schedule a meeting,lead,DeepPavlov/clinc_oos,18
do i have a fraudulent transaction on my account,escalate,DeepPavlov/clinc_oos,70
what are the steps to take to report a lost card,escalate,DeepPavlov/clinc_oos,12
there's been some fraudulent activity on my card,escalate,DeepPavlov/clinc_oos,70
who wrote green book,question,DeepPavlov/clinc_oos,42
what does it take to make buttermilk pancakes,question,DeepPavlov/clinc_oos,112
PRIVATE! Your 2003 Account Statement for shows 800 un-redeemed S. I. M. points. Call 08715203694 Identifier Code: 40533 Expires 31/10/04,spam,SMS Spam Collection,spam
which insurance plan do i have,lead,DeepPavlov/clinc_oos,74
are you an ai or a real person,escalate,DeepPavlov/clinc_oos,117
tell me if you are a real person or an ai,escalate,DeepPavlov/clinc_oos,117
how is my vacation looking,question,DeepPavlov/clinc_oos,101
Send a logo 2 ur lover - 2 names joined by a heart. Txt LOVE NAME1 NAME2 MOBNO eg LOVE ADAM EVE 07123456789 to 87077 Yahoo! POBox36504W45WQ TxtNO 4 no ads 150p.,spam,SMS Spam Collection,spam
Please CALL 08712402972 immediately as there is an urgent message waiting for you,spam,SMS Spam Collection,spam
i think there's fraud on my account,escalate,DeepPavlov/clinc_oos,70
how do i get to the statue of liberty on foot,question,DeepPavlov/clinc_oos,72
what is the mpg like for this car while driving in the city,question,DeepPavlov/clinc_oos,142
do i have a big shopping list,question,DeepPavlov/clinc_oos,43
"i need to report fraudulent activity on my visa card, please",escalate,DeepPavlov/clinc_oos,70
i think i made a fraudulent transaction,escalate,DeepPavlov/clinc_oos,70
i want to report fraud on my american express,escalate,DeepPavlov/clinc_oos,70
what is the sum of 8 + 3,question,DeepPavlov/clinc_oos,138
what is the pressure like on my tires,question,DeepPavlov/clinc_oos,98
You have won a guaranteed £200 award or even £1000 cashto claim UR award call free on 08000407165 (18+) 2 stop getstop on 88222 PHP. RG21 4JX,spam,SMS Spam Collection,spam
am i speaking with a real person,escalate,DeepPavlov/clinc_oos,117
"Thanks for your ringtone order, ref number R836. Your mobile will be charged £4.50. Should your tone not arrive please call customer services on 09065069154",spam,SMS Spam Collection,spam
help me find a new insurance plan,lead,DeepPavlov/clinc_oos,64
what is the validity of my credit card,question,DeepPavlov/clinc_oos,44
i was at walmart when my card was declined i was only trying to buy some candy,escalate,DeepPavlov/clinc_oos,49
show me how to schedule a meeting,lead,DeepPavlov/clinc_oos,18
i think the charge for uber on my account is fraudulent,escalate,DeepPavlov/clinc_oos,70
when should i get my next oil change,question,DeepPavlov/clinc_oos,123
URGENT! We are trying to contact U. Todays draw shows that you have won a £800 prize GUARANTEED. Call 09050001295 from land line. Claim A21. Valid 12hrs only,spam,SMS Spam Collection,spam
how much is 10 us dollars in canadian dollars,question,DeepPavlov/clinc_oos,38
i want to travel to new york and i would like to rent a car,lead,DeepPavlov/clinc_oos,40
who do i report lost luggage to,escalate,DeepPavlov/clinc_oos,113
please place a pto request for february 18th to the february 25th,lead,DeepPavlov/clinc_oos,97
please let me know why my card was declined yesterday,escalate,DeepPavlov/clinc_oos,49
i am obliged to report my stolen card,escalate,DeepPavlov/clinc_oos,12
SMS. ac Sptv: The New Jersey Devils and the Detroit Red Wings play Ice Hockey. Correct or Incorrect? End? Reply END SPTV,spam,SMS Spam Collection,spam
"hey computer, make a reservation for 2 for my parents at red lobster on wednseday next, 2:00pm if possible",lead,DeepPavlov/clinc_oos,23
i see a fraudulent transaction from netflix on my account,escalate,DeepPavlov/clinc_oos,70
tell me some fun tourist attractions in london,question,DeepPavlov/clinc_oos,149
Double Mins & Double Txt & 1/2 price Linerental on Latest Orange Bluetooth mobiles. Call MobileUpd8 for the very latest offers. 08000839402 or call2optout/LF56,spam,SMS Spam Collection,spam
"please make a reservation for me: party of two, february 22nd at chili's, two in the afternoon",lead,DeepPavlov/clinc_oos,23
tell my bank's fraud department i'm going to mexico,escalate,DeepPavlov/clinc_oos,146
tell me where you're made,question,DeepPavlov/clinc_oos,77
i saw a fraudulent transaction,escalate,DeepPavlov/clinc_oos,70
does our bank have free notary,question,DeepPavlov/clinc_oos,42
why was my card not working at target,escalate,DeepPavlov/clinc_oos,49
what are the steps to change my insurance policy,lead,DeepPavlov/clinc_oos,64
Your credits have been topped up for http://www.bubbletext.com Your renewal Pin is tgxxrz,spam,SMS Spam Collection,spam
do i have any meetings with michael today,question,DeepPavlov/clinc_oos,19
where can i rent a car soon,lead,DeepPavlov/clinc_oos,40
help me book a car rental in chicago for april 1st to 3rd get me an suv if possible,lead,DeepPavlov/clinc_oos,40
i need help booking a car rental in seattle,lead,DeepPavlov/clinc_oos,40
what if you want a new credit card,question,DeepPavlov/clinc_oos,91
i want you to book a reservation for 8 pm at red robin under the name kevin,lead,DeepPavlov/clinc_oos,23
where can i rent a car in singapore,lead,DeepPavlov/clinc_oos,40
what is the process to schedule a meeting,lead,DeepPavlov/clinc_oos,18
tell me what kind of gas this car uses,question,DeepPavlov/clinc_oos,8
could i get assistance booking a car rental in las vegas,lead,DeepPavlov/clinc_oos,40
what is the name of the insurance plan i am enrolled in,lead,DeepPavlov/clinc_oos,74
on flight america airlines in o'hare lost luggage,escalate,DeepPavlov/clinc_oos,113
i need the information on how to report a lost card,escalate,DeepPavlov/clinc_oos,12
report lost card,escalate,DeepPavlov/clinc_oos,12
is there an insurance plan for my health,lead,DeepPavlov/clinc_oos,74
what is the process to move money from one account to another,question,DeepPavlov/clinc_oos,133
Enjoy the jamster videosound gold club with your credits for 2 new videosounds+2 logos+musicnews! get more fun from jamster.co.uk! 16+only Help? call: 09701213186,spam,SMS Spam Collection,spam
what amount do i have to pay in taxes,question,DeepPavlov/clinc_oos,94
why was my card declined for my monthly netflix subscription payment,escalate,DeepPavlov/clinc_oos,49
"what kind of person are you, a cat or dog",question,DeepPavlov/clinc_oos,34
TBS/PERSOLVO. been chasing us since Sept for£38 definitely not paying now thanks to your information. We will ignore them. Kath. Manchester.,spam,SMS Spam Collection,spam
"i want to report fraudulent activity on my amex card, please",escalate,DeepPavlov/clinc_oos,70
tell me how to use credit card points,question,DeepPavlov/clinc_oos,6
how can i report fraudulent charges on my card,escalate,DeepPavlov/clinc_oos,70
reserve a table for 3 at 7 for olive garden,lead,DeepPavlov/clinc_oos,23
what must i do if i want to adjust my insurance policy,lead,DeepPavlov/clinc_oos,64
let me know why my card was declined yesterday,escalate,DeepPavlov/clinc_oos,49
Free entry in 2 a wkly comp to win FA Cup final tkts 21st May 2005. Text FA to 87121 to receive entry question(std txt rate)T&C's apply 08452810075over18's,spam,SMS Spam Collection,spam
can i get a car rental in boise from april 11th to april 13th,lead,DeepPavlov/clinc_oos,40
Do you want a New Nokia 3510i Colour Phone Delivered Tomorrow? With 200 FREE minutes to any mobile + 100 FREE text + FREE camcorder Reply or Call 08000930705,spam,SMS Spam Collection,spam
"U were outbid by simonwatson5120 on the Shinco DVD Plyr. 2 bid again, visit sms. ac/smsrewards 2 end bid notifications, reply END OUT",spam,SMS Spam Collection,spam
can you help me get on a new united healthcare insurance plan,lead,DeepPavlov/clinc_oos,64
You have 1 new message. Please call 08715205273,spam,SMS Spam Collection,spam
are you a real person or automated,escalate,DeepPavlov/clinc_oos,117
can i put in a pto request for december 3rd to december 10th,lead,DeepPavlov/clinc_oos,97
what do i do to report a lost card,escalate,DeepPavlov/clinc_oos,12
"can you schedule a meeting with jessica at the office, please",lead,DeepPavlov/clinc_oos,18
Todays Voda numbers ending 1225 are selected to receive a £50award. If you have a match please call 08712300220 quoting claim code 3100 standard rates app,spam,SMS Spam Collection,spam
"In The Simpsons Movie released in July 2007 name the band that died at the start of the film? A-Green Day, B-Blue Day, C-Red Day. (Send A, B or C)",spam,SMS Spam Collection,spam
are you a real person or a robot,escalate,DeepPavlov/clinc_oos,117
how do i report fraud on my chase bank card,escalate,DeepPavlov/clinc_oos,70
when does milk expire,question,DeepPavlov/clinc_oos,54
"between october 7th and october 10th, i'd like for there to be a pto request for me",lead,DeepPavlov/clinc_oos,97
i would like you to help me get on another united healthcare insurance plan,lead,DeepPavlov/clinc_oos,64
please help me schedule a meeting with john love at 9 am tomorrow,lead,DeepPavlov/clinc_oos,18
is there a certain type of gas i need to use,question,DeepPavlov/clinc_oos,8
what name do you go by,question,DeepPavlov/clinc_oos,75
"all the lastest from Stereophonics, Marley, Dizzee Racal, Libertines and The Strokes! Win Nookii games with Flirt!! Click TheMob WAP Bookmark or text WAP to 82468",spam,SMS Spam Collection,spam
i need to switch insurance plans,lead,DeepPavlov/clinc_oos,64
is new this a good insurance plan for me,lead,DeepPavlov/clinc_oos,64
can i make a reservation for 2 at state bird for 8:30,lead,DeepPavlov/clinc_oos,23
"Thanks for your Ringtone Order, Reference T91. You will be charged GBP 4 per week. You can unsubscribe at anytime by calling customer services on 09057039994",spam,SMS Spam Collection,spam
how long can i expect to wait for a restaurant table,question,DeepPavlov/clinc_oos,102
"what do you do when you're not working, for fun",escalate,DeepPavlov/clinc_oos,15
"if i want to schedule a meeting, how do i do it",lead,DeepPavlov/clinc_oos,18
WOW! The Boys R Back. TAKE THAT 2007 UK Tour. Win VIP Tickets & pre-book with VIP Club. Txt CLUB to 81303. Trackmarque Ltd info@vipclub4u.,spam,SMS Spam Collection,spam
URGENT This is our 2nd attempt to contact U. Your £900 prize from YESTERDAY is still awaiting collection. To claim CALL NOW 09061702893. ACL03530150PM,spam,SMS Spam Collection,spam
can you please freeze my account,escalate,DeepPavlov/clinc_oos,20
what car rental choices are there in calgary,lead,DeepPavlov/clinc_oos,40
"siri, book a car rental to the poconos today right now",lead,DeepPavlov/clinc_oos,40
how come my card was declined at rosses,escalate,DeepPavlov/clinc_oos,49
how do i alter my insurance policy,lead,DeepPavlov/clinc_oos,64
Would you like to see my XXX pics they are so hot they were nearly banned in the uk!,spam,SMS Spam Collection,spam
who were you created by,question,DeepPavlov/clinc_oos,96
i'm pretty sure this charge from sam's club is fraudulent,escalate,DeepPavlov/clinc_oos,70
what is the fee for a cash advance,question,DeepPavlov/clinc_oos,42
"tell me about traffic conditions in ocean city, nj on sunday mornings around 10 am in the summer",question,DeepPavlov/clinc_oos,24
Had your mobile 11mths ? Update for FREE to Oranges latest colour camera mobiles & unlimited weekend calls. Call Mobile Upd8 on freefone 08000839402 or 2StopTxt,spam,SMS Spam Collection,spam
U are subscribed to the best Mobile Content Service in the UK for £3 per 10 days until you send STOP to 82324. Helpline 08706091795,spam,SMS Spam Collection,spam
i want to report fraudulent activity on my amex card,escalate,DeepPavlov/clinc_oos,70
what is your preferred name,question,DeepPavlov/clinc_oos,75
how do you spell sanguine,question,DeepPavlov/clinc_oos,73
how much time do i have left on my 0% apr,question,DeepPavlov/clinc_oos,42
Money i have won wining number 946 wot do i do next,spam,SMS Spam Collection,spam
tell me the current balance of my bank accounts,question,DeepPavlov/clinc_oos,35
what's the procedure to deal with lost luggage,escalate,DeepPavlov/clinc_oos,113
set up a report for a lost card,escalate,DeepPavlov/clinc_oos,12
"You can stop further club tones by replying ""STOP MIX"" See my-tone.com/enjoy. html for terms. Club tones cost GBP4.50/week. MFL, PO Box 1146 MK45 2WT (2/3)",spam,SMS Spam Collection,spam
so it turns out my card was declined at applebee's and i wanna know why,escalate,DeepPavlov/clinc_oos,49
use martins name to reserve a table at tropicana for 5 people at 8pm,lead,DeepPavlov/clinc_oos,23
does macaroni grill have a wait how long,question,DeepPavlov/clinc_oos,102
i need to book a flight on jet blue to boston from new york,lead,DeepPavlov/clinc_oos,63
how do i put in a pto request for the first to the ninth,lead,DeepPavlov/clinc_oos,97
i have a fraudulent transaction from wal mart showing on my account,escalate,DeepPavlov/clinc_oos,70
could you help me out with a new renters' insurance plan,lead,DeepPavlov/clinc_oos,64
find out if i can rent a car in los angeles from march 2-9,lead,DeepPavlov/clinc_oos,40
