text,label,source_dataset,source_label
i need to report some fraudulent card activity,escalate,DeepPavlov/clinc_oos,70
what's my health insurance plan,lead,DeepPavlov/clinc_oos,74
tell my bank's fraud department i'm going to mexico,escalate,DeepPavlov/clinc_oos,146
"URGENT! Your mobile No 07xxxxxxxxx won a £2,000 bonus caller prize on 02/06/03! this is the 2nd attempt to reach YOU! call 09066362231 ASAP! BOX97N7QP, 150PPM",spam,SMS Spam Collection,spam
"tddnewsletter@emc1.co.uk (More games from TheDailyDraw) Dear Helen, Dozens of Free Games - with great prizesWith..",spam,SMS Spam Collection,spam
is it necessary to get a shot for travel to india,question,DeepPavlov/clinc_oos,52
FREE for 1st week! No1 Nokia tone 4 ur mob every week just txt NOKIA to 87077 Get txting and tell ur mates. zed POBox 36504 W45WQ norm150p/tone 16+,spam,SMS Spam Collection,spam
find out if i can rent a car in los angeles from march 2-9,lead,DeepPavlov/clinc_oos,40
what can i ask you to accomplish,question,DeepPavlov/clinc_oos,115
book a reservation for 8 pm at red robin under the name kevin,lead,DeepPavlov/clinc_oos,23
"Hi babe its Jordan, how r u? Im home from abroad and lonely, text me back if u wanna chat xxSP visionsms.com Text stop to stopCost 150p 08712400603",spam,SMS Spam Collection,spam
show me how do i schedule a meeting,lead,DeepPavlov/clinc_oos,18
how can i find my routing number from bank of america,question,DeepPavlov/clinc_oos,45
could you schedule a meeting with john smith at 1 pm tomorrow,lead,DeepPavlov/clinc_oos,18
Enjoy the jamster videosound gold club with your credits for 2 new videosounds+2 logos+musicnews! get more fun from jamster.co.uk! 16+only Help? call: 09701213186,spam,SMS Spam Collection,spam
"can you get me a car rental for march 13th to 15th in nyc, and i'd like a convertible if possible",lead,DeepPavlov/clinc_oos,40
"which insurance plan am i enrolled in, please",lead,DeepPavlov/clinc_oos,74
i want to reserve a table at 8 at long john silver's under the name freddie,lead,DeepPavlov/clinc_oos,23
please schedule a meeting with kim at 10 am,lead,DeepPavlov/clinc_oos,18
so my card was declined at fry's and i wanna know why,escalate,DeepPavlov/clinc_oos,49
"Double Mins & 1000 txts on Orange tariffs. Latest Motorola, SonyEricsson & Nokia with Bluetooth FREE! Call MobileUpd8 on 08000839402 or call2optout/HF8",spam,SMS Spam Collection,spam
how long does it take to get your yellow belt in karate,question,DeepPavlov/clinc_oos,42
where exactly am i,question,DeepPavlov/clinc_oos,136
what type of gas do i need to put in this car,question,DeepPavlov/clinc_oos,8
are there any travel alerts in that region,question,DeepPavlov/clinc_oos,128
will you reserve a table at olive garden for 3 people at 7,lead,DeepPavlov/clinc_oos,23
does my calendar show anything for thursday the 14th,question,DeepPavlov/clinc_oos,60
can i improve my credit score,question,DeepPavlov/clinc_oos,28
please help me figure out why my card was declined yesterday,escalate,DeepPavlov/clinc_oos,49
am i speaking with a real person,escalate,DeepPavlov/clinc_oos,117
"FREE GAME. Get Rayman Golf 4 FREE from the O2 Games Arcade. 1st get UR games settings. Reply POST, then save & activ8. Press 0 key for Arcade. Termsapply",spam,SMS Spam Collection,spam
what is the calorie count for one cookie,question,DeepPavlov/clinc_oos,135
"i want to report fraudulent activity on my visa card, please",escalate,DeepPavlov/clinc_oos,70
i wish to know why my card was declined,escalate,DeepPavlov/clinc_oos,49
how do i locate my current credit score,question,DeepPavlov/clinc_oos,69
what are delta's carry-on restrictions,question,DeepPavlov/clinc_oos,62
walk me through the process of reporting a lost card,escalate,DeepPavlov/clinc_oos,12
when is the next time i need to get an oil change,question,DeepPavlov/clinc_oos,123
"from december 22nd to the 25th, make me a pto request",lead,DeepPavlov/clinc_oos,97
how are you named,question,DeepPavlov/clinc_oos,75
i've got a fraudulent purchase from kayak on my account,escalate,DeepPavlov/clinc_oos,70
GSOH? Good with SPAM the ladies?U could b a male gigolo? 2 join the uk's fastest growing mens club reply ONCALL. mjzgroup. 08714342399.2stop reply STOP. msg@£1.50rcvd,spam,SMS Spam Collection,spam
find out who is the representative of my district,escalate,DeepPavlov/clinc_oos,42
please help me schedule a meeting with john love at 9 am tomorrow,lead,DeepPavlov/clinc_oos,18
would you tell me how the ai is doing,question,DeepPavlov/clinc_oos,82
what do i do to schedule a meeting,lead,DeepPavlov/clinc_oos,18
how do i request vacation time,lead,DeepPavlov/clinc_oos,97
i'd like to schedule a meeting room from 1:00 pm until 2:00 pm,lead,DeepPavlov/clinc_oos,18
Kit Strip - you have been billed 150p. Netcollex Ltd. PO Box 1013 IG11 OJA,spam,SMS Spam Collection,spam
88066 FROM 88066 LOST 3POUND HELP,spam,SMS Spam Collection,spam
"all the lastest from Stereophonics, Marley, Dizzee Racal, Libertines and The Strokes! Win Nookii games with Flirt!! Click TheMob WAP Bookmark or text WAP to 82468",spam,SMS Spam Collection,spam
what is the word on flight dl123,question,DeepPavlov/clinc_oos,80
what is on my calander for valentines day,question,DeepPavlov/clinc_oos,60
how do i see me rewards for my chase card,question,DeepPavlov/clinc_oos,50
please ask the bank to freeze my account,escalate,DeepPavlov/clinc_oos,20
Hi its LUCY Hubby at meetins all day Fri & I will B alone at hotel U fancy cumin over? Pls leave msg 2day 09099726395 Lucy x Calls£1/minMobsmoreLKPOBOX177HP51FL,spam,SMS Spam Collection,spam
"England v Macedonia - dont miss the goals/team news. Txt ur national team to 87077 eg ENGLAND to 87077 Try:WALES, SCOTLAND 4txt/ú1.20 POBOXox36504W45WQ 16+",spam,SMS Spam Collection,spam
what brand was the last advertisement for,question,DeepPavlov/clinc_oos,42
Valentines Day Special! Win over £1000 in our quiz and take your partner on the trip of a lifetime! Send GO to 83600 now. 150p/msg rcvd. CustCare:08718720201.,spam,SMS Spam Collection,spam
how come my card was declined at rosses,escalate,DeepPavlov/clinc_oos,49
Send a logo 2 ur lover - 2 names joined by a heart. Txt LOVE NAME1 NAME2 MOBNO eg LOVE ADAM EVE 07123456789 to 87077 Yahoo! POBox36504W45WQ TxtNO 4 no ads 150p.,spam,SMS Spam Collection,spam
tell me my income amount,question,DeepPavlov/clinc_oos,93
so are you a real person,escalate,DeepPavlov/clinc_oos,117
make a reservation for chik-fil-a at 3 o' clock please,lead,DeepPavlov/clinc_oos,23
Hi if ur lookin 4 saucy daytime fun wiv busty married woman Am free all next week Chat now 2 sort time 09099726429 JANINExx Calls£1/minMobsmoreLKPOBOX177HP51FL,spam,SMS Spam Collection,spam
Had your mobile 11mths ? Update for FREE to Oranges latest colour camera mobiles & unlimited weekend calls. Call Mobile Upd8 on freefone 08000839402 or 2StopTxt,spam,SMS Spam Collection,spam
there seems to be fraudulent activity,escalate,DeepPavlov/clinc_oos,70
please make a reservation for us at joy bar for 4 adults,lead,DeepPavlov/clinc_oos,23
who do i contact to report fraud on my visa,escalate,DeepPavlov/clinc_oos,70
"You are guaranteed the latest Nokia Phone, a 40GB iPod MP3 player or a £500 prize! Txt word: COLLECT to No: 83355! IBHltd LdnW15H 150p/Mtmsgrcvd18",spam,SMS Spam Collection,spam
when will my visa next expire,question,DeepPavlov/clinc_oos,44
how long do i cook this for,question,DeepPavlov/clinc_oos,86
how do you say fast in spanish,question,DeepPavlov/clinc_oos,61
are you ai or a real person please,escalate,DeepPavlov/clinc_oos,117
tell me why my card was declined yesterday,escalate,DeepPavlov/clinc_oos,49
"Auction round 4. The highest bid is now £54. Next maximum bid is £71. To bid, send BIDS e. g. 10 (to bid £10) to 83383. Good luck.",spam,SMS Spam Collection,spam
i need to rent a car for may 10th to may 15th in lizton and i'd like a bmw,lead,DeepPavlov/clinc_oos,40
i want to report fraudulent activity on my visa card,escalate,DeepPavlov/clinc_oos,70
"can you submit a pto request for me from dates nov 2 to 10, please",lead,DeepPavlov/clinc_oos,97
there has been fraudulent activity on my card and i need to report it,escalate,DeepPavlov/clinc_oos,70
i need to report a lost card,escalate,DeepPavlov/clinc_oos,12
are you a real person or a bot,escalate,DeepPavlov/clinc_oos,117
where do i find the routing number for nfcu,question,DeepPavlov/clinc_oos,45
can you schedule a meeting with matt for 3,lead,DeepPavlov/clinc_oos,18
URGENT This is our 2nd attempt to contact U. Your £900 prize from YESTERDAY is still awaiting collection. To claim CALL NOW 09061702893. ACL03530150PM,spam,SMS Spam Collection,spam
U have won a nokia 6230 plus a free digital camera. This is what u get when u win our FREE auction. To take part send NOKIA to 83383 now. POBOX114/14TCR/W1 16,spam,SMS Spam Collection,spam
i have a fraudulent buy from dave's video on my account,escalate,DeepPavlov/clinc_oos,70
what is my credit max,question,DeepPavlov/clinc_oos,41
i spotted a fraudulent transaction from microsoft on my account,escalate,DeepPavlov/clinc_oos,70
do you think they'll let me reserve a table at the olive garden,lead,DeepPavlov/clinc_oos,9
is there anything real about you,question,DeepPavlov/clinc_oos,117
i need to switch insurance plans,lead,DeepPavlov/clinc_oos,64
what do you like to do when you're not working,escalate,DeepPavlov/clinc_oos,15
i made a fraudulent transaction,escalate,DeepPavlov/clinc_oos,70
locate lost luggage from flight america airlines in o'hare,escalate,DeepPavlov/clinc_oos,113
i want to buy a plane ticket to travel from miami to honolulu on the 29th of february i need a return flight on march 5th,lead,DeepPavlov/clinc_oos,63
can i put in a pto request for september 1st to september 8th,lead,DeepPavlov/clinc_oos,97
are you an ai or a real person,escalate,DeepPavlov/clinc_oos,117
assist me in getting a car rental,lead,DeepPavlov/clinc_oos,40
i need to make a reservation for 8 pm at red robin for 3,lead,DeepPavlov/clinc_oos,23
i believe there's fraud on my card,escalate,DeepPavlov/clinc_oos,70
i need to book a flight on jet blue to boston from new york,lead,DeepPavlov/clinc_oos,63
what is the calorie look like in apples,question,DeepPavlov/clinc_oos,135
tell me how low the air in my tires are,question,DeepPavlov/clinc_oos,98
does my bank of the west card have international transaction fees,question,DeepPavlov/clinc_oos,137
how long will it take me to get to red robin in glendale,question,DeepPavlov/clinc_oos,78
book me a car rental in nashville,lead,DeepPavlov/clinc_oos,40
"Free-message: Jamster!Get the crazy frog sound now! For poly text MAD1, for real text MAD2 to 88888. 6 crazy sounds for just 3 GBP/week! 16+only! T&C's apply",spam,SMS Spam Collection,spam
i want to report a stolen card,escalate,DeepPavlov/clinc_oos,12
i really need to switch to a new insurance plan,lead,DeepPavlov/clinc_oos,64
i need to replace my lost card,escalate,DeepPavlov/clinc_oos,12
help me change my insurance plan,lead,DeepPavlov/clinc_oos,64
do i have a fraudulent transaction on my account,escalate,DeepPavlov/clinc_oos,70
create a pto request for march 21st to march 26th,lead,DeepPavlov/clinc_oos,97
which insurance plan do i currently have,lead,DeepPavlov/clinc_oos,74
Ur cash-balance is currently 500 pounds - to maximize ur cash-in now send GO to 86688 only 150p/msg. CC 08718720201 HG/Suite342/2Lands Row/W1J6HL,spam,SMS Spam Collection,spam
put in a pto request for march 4 to march 6,lead,DeepPavlov/clinc_oos,97
how do i get to the statue of liberty on foot,question,DeepPavlov/clinc_oos,72
TBS/PERSOLVO. been chasing us since Sept for£38 definitely not paying now thanks to your information. We will ignore them. Kath. Manchester.,spam,SMS Spam Collection,spam
"our mobile number has won £5000, to claim calls us back or ring the claims hot line on 09050005321.",spam,SMS Spam Collection,spam
please make a reservation for 2 at olive garden for 5 pm today,lead,DeepPavlov/clinc_oos,23
is it possible to reserve a table at white castle,lead,DeepPavlov/clinc_oos,9
"You are guaranteed the latest Nokia Phone, a 40GB iPod MP3 player or a £500 prize! Txt word: COLLECT to No: 83355! IBHltd LdnW15H 150p/Mtmsgrcvd18+",spam,SMS Spam Collection,spam
contact the bank about fraud activity on my card,escalate,DeepPavlov/clinc_oos,70
does united airlines allow more than one carry on,question,DeepPavlov/clinc_oos,62
what is the proper cooking time for this,question,DeepPavlov/clinc_oos,86
can you put in a pto request for the 5th of june to june 8th,lead,DeepPavlov/clinc_oos,97
<Forwarded from 21870000>Hi - this is your Mailbox Messaging SMS alert. You have 40 matches. Please call back on 09056242159 to retrieve your messages and matches cc100p/min,spam,SMS Spam Collection,spam
go ahead and book a reservation for 8 pm at red robin under the name kevin,lead,DeepPavlov/clinc_oos,23
someone misused my card and put fraudulent transactions on it,escalate,DeepPavlov/clinc_oos,70
i need you to reserve a table for 6:00 pm for three at devon's seafood,lead,DeepPavlov/clinc_oos,23
what is the mpg like for this car while driving in the city,question,DeepPavlov/clinc_oos,142
"URGENT! Your Mobile No 07808726822 was awarded a £2,000 Bonus Caller Prize on 02/09/03! This is our 2nd attempt to contact YOU! Call 0871-872-9758 BOX95QU",spam,SMS Spam Collection,spam
what apr do i have with my credit card,question,DeepPavlov/clinc_oos,132
i really need to get a volkswagen car rental for march 5th to march 8th in phoenix,lead,DeepPavlov/clinc_oos,40
i want to start a new aaa insurance plan,lead,DeepPavlov/clinc_oos,64
Filthy stories and GIRLS waiting for your,spam,SMS Spam Collection,spam
trying to buy a mug from target but my card declined,escalate,DeepPavlov/clinc_oos,49
create for me a pto request for march 16-21,lead,DeepPavlov/clinc_oos,97
i would like to get a new insurance plan,lead,DeepPavlov/clinc_oos,64
how clogged are the streets before the stadium,question,DeepPavlov/clinc_oos,24
what price is my credit card and my water bill at,question,DeepPavlov/clinc_oos,27
Adult 18 Content Your video will be with you shortly,spam,SMS Spam Collection,spam
"In The Simpsons Movie released in July 2007 name the band that died at the start of the film? A-Green Day, B-Blue Day, C-Red Day. (Send A, B or C)",spam,SMS Spam Collection,spam
"can i make a reservation for 2 at state bird for 6:30, please",lead,DeepPavlov/clinc_oos,23
You will be receiving this week's Triple Echo ringtone shortly. Enjoy it!,spam,SMS Spam Collection,spam
i need to tell you about my lost card,escalate,DeepPavlov/clinc_oos,12
+123 Congratulations - in this week's competition draw u have won the £1450 prize to claim just call 09050002311 b4280703. T&Cs/stop SMS 08718727868. Over 18 only 150ppm,spam,SMS Spam Collection,spam
"Double mins and txts 4 6months FREE Bluetooth on Orange. Available on Sony, Nokia Motorola phones. Call MobileUpd8 on 08000839402 or call2optout/N9DX",spam,SMS Spam Collection,spam
"You are a £1000 winner or Guaranteed Caller Prize, this is our Final attempt to contact you! To Claim Call 09071517866 Now! 150ppmPOBox10183BhamB64XE",spam,SMS Spam Collection,spam
i need you to schedule a meeting with bob brown at noon the day after tomorrow,lead,DeepPavlov/clinc_oos,18
"i need to change my insurance policy, how",lead,DeepPavlov/clinc_oos,64
"Sppok up ur mob with a Halloween collection of nokia logo&pic message plus a FREE eerie tone, txt CARD SPOOK to 8007",spam,SMS Spam Collection,spam
how many rewards points do i have on my rewards points i have on my mastercard,question,DeepPavlov/clinc_oos,50
how soon can i expect a replacement card for my lost card to arrive,escalate,DeepPavlov/clinc_oos,90
"TheMob>Hit the link to get a premium Pink Panther game, the new no. 1 from Sugababes, a crazy Zebra animation or a badass Hoody wallpaper-all 4 FREE!",spam,SMS Spam Collection,spam
help me tell visa about fraud on my account,escalate,DeepPavlov/clinc_oos,70
"i want to report fraudulent activity on my amex card, please",escalate,DeepPavlov/clinc_oos,70
how much does it cost to use the parking garage downtown,question,DeepPavlov/clinc_oos,42
i have a fraudulent transaction from red robin on my account,escalate,DeepPavlov/clinc_oos,70
my card declined,escalate,DeepPavlov/clinc_oos,49
PRIVATE! Your 2003 Account Statement for shows 800 un-redeemed S. I. M. points. Call 08715203694 Identifier Code: 40533 Expires 31/10/04,spam,SMS Spam Collection,spam
report fraud on my card,escalate,DeepPavlov/clinc_oos,70
"i want to schedule a vacation, can i request that through you",lead,DeepPavlov/clinc_oos,97
what if i want to switch insurance plans,lead,DeepPavlov/clinc_oos,64
how do i do a 401(k) rollover,question,DeepPavlov/clinc_oos,100
book an appointment for an oil change,lead,DeepPavlov/clinc_oos,131
please check if i can do a car rental from charlotte douglas airport from monday to wednesday,lead,DeepPavlov/clinc_oos,40
reserve a table for 2 at olive garden under the name jim at 6:00pm,lead,DeepPavlov/clinc_oos,23
tell me whether i can put a pto request in for may 10 to may 15,lead,DeepPavlov/clinc_oos,97
what kind of insurance plan am i in,lead,DeepPavlov/clinc_oos,74
how much longer until i need to get my oil changed,question,DeepPavlov/clinc_oos,123
book a flight from bangor to las vegas on may 1st and returning july 4th,lead,DeepPavlov/clinc_oos,63
FREEMSG: Our records indicate you may be entitled to 3750 pounds for the Accident you had. To claim for free reply with YES to this msg. To opt out text STOP,spam,SMS Spam Collection,spam
Great NEW Offer - DOUBLE Mins & DOUBLE Txt on best Orange tariffs AND get latest camera phones 4 FREE! Call MobileUpd8 free on 08000839402 NOW! or 2stoptxt T&Cs,spam,SMS Spam Collection,spam
i need help booking a car rental in seattle,lead,DeepPavlov/clinc_oos,40
what is the status of my vacation request,question,DeepPavlov/clinc_oos,101
on flight america airlines in o'hare lost luggage,escalate,DeepPavlov/clinc_oos,113
what are the review for mcdonald's,question,DeepPavlov/clinc_oos,0
"500 New Mobiles from 2004, MUST GO! Txt: NOKIA to No: 89545 & collect yours today!From ONLY £1 www.4-tc.biz 2optout 087187262701.50gbp/mtmsg18",spam,SMS Spam Collection,spam
WIN a year supply of CDs 4 a store of ur choice worth £500 & enter our £100 Weekly draw txt MUSIC to 87066 Ts&Cs www.Ldew.com.subs16+1win150ppmx3,spam,SMS Spam Collection,spam
Thanks for the Vote. Now sing along with the stars with Karaoke on your mobile. For a FREE link just reply with SING now.,spam,SMS Spam Collection,spam
is it possible for you to schedule a meeting for 3:00 on wednesday,lead,DeepPavlov/clinc_oos,18
this costco charge looks fraudulent,escalate,DeepPavlov/clinc_oos,70
We tried to contact you re your reply to our offer of a Video Phone 750 anytime any network mins Half Price Line Rental Camcorder Reply or call 08000930705,spam,SMS Spam Collection,spam
i'd like a new life insurance plan,lead,DeepPavlov/clinc_oos,64
send fraudulent activity information,escalate,DeepPavlov/clinc_oos,70
can i set up mobile deposits,question,DeepPavlov/clinc_oos,42
what type of industries do innovation managers work in,escalate,DeepPavlov/clinc_oos,42
show me how to rent a car in las vegas,lead,DeepPavlov/clinc_oos,40
"You are being contacted by our dating service by someone you know! To find out who it is, call from a land line 09050000878. PoBox45W2TG150P",spam,SMS Spam Collection,spam
my car needs maintenance but i don't know if i can schedule an appointment for that,lead,DeepPavlov/clinc_oos,131
what is the date of the next holiday,question,DeepPavlov/clinc_oos,140
For the most sparkling shopping breaks from 45 per person; call 0121 2025050 or visit www.shortbreaks.org.uk,spam,SMS Spam Collection,spam
Customer Loyalty Offer:The NEW Nokia6650 Mobile from ONLY £10 at TXTAUCTION! Txt word: START to No: 81151 & get yours Now! 4T&Ctxt TC 150p/MTmsg,spam,SMS Spam Collection,spam
i want to sign up for a new allstate insurance plan,lead,DeepPavlov/clinc_oos,64
help me make changes to my insurance policy,lead,DeepPavlov/clinc_oos,64
what do i do to get cach back for points on my discover card,question,DeepPavlov/clinc_oos,6
is there a fee for cancelling a flight i've booked,question,DeepPavlov/clinc_oos,42
when did i take my car to the mechanic,question,DeepPavlov/clinc_oos,37
does france have any current travel alerts,question,DeepPavlov/clinc_oos,128
i need to book a car rental in boston,lead,DeepPavlov/clinc_oos,40
can you tell me why my card was declined yesterday,escalate,DeepPavlov/clinc_oos,49
i really must rent a car out of sky harbor airport from the 3rd to the 5th of february,lead,DeepPavlov/clinc_oos,40
Congratulations ur awarded either £500 of CD gift vouchers & Free entry 2 our £100 weekly draw txt MUSIC to 87066 TnCs www.Ldew.com1win150ppmx3age16,spam,SMS Spam Collection,spam
please report my stolen card,escalate,DeepPavlov/clinc_oos,12
"what kind of person are you, a cat or dog",question,DeepPavlov/clinc_oos,34
tell me the name of my insurance plan,lead,DeepPavlov/clinc_oos,74
what level is my gas tank at,question,DeepPavlov/clinc_oos,110
"tell me my scheduled meetings for today only, please",question,DeepPavlov/clinc_oos,19
tell me what my name is,question,DeepPavlov/clinc_oos,11
when will my discovery card expire,question,DeepPavlov/clinc_oos,44
do i have a big shopping list,question,DeepPavlov/clinc_oos,43
Free entry in 2 a weekly comp for a chance to win an ipod. Txt POD to 80182 to get entry (std txt rate) T&C's apply 08452810073 for details 18+,spam,SMS Spam Collection,spam
i need to report fraudulent activity on my card,escalate,DeepPavlov/clinc_oos,70
i need to rent a car for may 8th to may 25th in danville and i'd like a ford,lead,DeepPavlov/clinc_oos,40
"i need to make a reservation to long horn's, can i",lead,DeepPavlov/clinc_oos,9
"YOUR CHANCE TO BE ON A REALITY FANTASY SHOW call now = 08707509020 Just 20p per min NTT Ltd, PO Box 1327 Croydon CR9 5WB 0870 is a national = rate call",spam,SMS Spam Collection,spam
i must report fraudulent activity on my debit,escalate,DeepPavlov/clinc_oos,70
"siri, book a car rental to the poconos today right now",lead,DeepPavlov/clinc_oos,40
"SMS SERVICES. for your inclusive text credits, pls goto www.comuk.net login= ***** unsubscribe with STOP. no extra charge. help:08700469649. PO BOX420. IP4 5WE",spam,SMS Spam Collection,spam
"tell me about traffic conditions in ocean city, nj on sunday mornings around 10 am in the summer",question,DeepPavlov/clinc_oos,24
when should i get my next oil change,question,DeepPavlov/clinc_oos,123
do i need a tourist visa for europe,question,DeepPavlov/clinc_oos,59
it seems that there's fraudulent activity on my card i'd like to file a report,escalate,DeepPavlov/clinc_oos,70
so why was my card declined yesterday,escalate,DeepPavlov/clinc_oos,49
"what do you do when you're not working, for fun",escalate,DeepPavlov/clinc_oos,15
i would like a new insurance plan,lead,DeepPavlov/clinc_oos,64
what are you,question,DeepPavlov/clinc_oos,117
PRIVATE! Your 2003 Account Statement for shows 800 un-redeemed S. I. M. points. Call 08719899230 Identifier Code: 41685 Expires 07/11/04,spam,SMS Spam Collection,spam
what is the amount of balance i have to pay on my bill,question,DeepPavlov/clinc_oos,27
how much can i use on my visa,question,DeepPavlov/clinc_oos,41
what exactly can you help me with,question,DeepPavlov/clinc_oos,115
"""i need to report fraudulent activity to my card company",escalate,DeepPavlov/clinc_oos,70
can you schedule a meeting at 10 am tomorrow with john smith,lead,DeepPavlov/clinc_oos,18
sexy sexy cum and text me im wet and warm and ready for some porn! u up for some fun? THIS MSG IS FREE RECD MSGS 150P INC VAT 2 CANCEL TEXT STOP,spam,SMS Spam Collection,spam
what is the route to take to report a lost card,escalate,DeepPavlov/clinc_oos,12
PRIVATE! Your 2003 Account Statement for <fone no> shows 800 un-redeemed S. I. M. points. Call 08715203656 Identifier Code: 42049 Expires 26/10/04,spam,SMS Spam Collection,spam
could you help me out with a new renters' insurance plan,lead,DeepPavlov/clinc_oos,64
so it turns out my card was declined at applebee's and i wanna know why,escalate,DeepPavlov/clinc_oos,49
can you show me how to report a lost card,escalate,DeepPavlov/clinc_oos,12
You have WON a guaranteed £1000 cash or a £2000 prize. To claim yr prize call our customer service representative on 08714712412 between 10am-7pm Cost 10p,spam,SMS Spam Collection,spam
what was the temperature yesterday,question,DeepPavlov/clinc_oos,5
could you tell me how many pto days do i have left,question,DeepPavlov/clinc_oos,126
tell me what kind of pets you have,question,DeepPavlov/clinc_oos,34
Summers finally here! Fancy a chat or flirt with sexy singles in yr area? To get MATCHED up just reply SUMMER now. Free 2 Join. OptOut txt STOP Help08714742804,spam,SMS Spam Collection,spam
are you a real person or automated,escalate,DeepPavlov/clinc_oos,117
is there a routing number for wachovia,question,DeepPavlov/clinc_oos,45
book a flight from sacremento to tampa two weeks from now and returning a month after,lead,DeepPavlov/clinc_oos,63
how do i tell mastercard about a fraudulent charge,escalate,DeepPavlov/clinc_oos,70
what is the process of reporting a lost card,escalate,DeepPavlov/clinc_oos,12
freeze my account at the bank immediately,escalate,DeepPavlov/clinc_oos,20
who is your supervisor,question,DeepPavlov/clinc_oos,57
while on flight america airlines i lost luggage in o'hare,escalate,DeepPavlov/clinc_oos,113
could you freeze my account now,escalate,DeepPavlov/clinc_oos,20
